FID	IID	deme	longitude	latitude
tsk_0	tsk_0	0	0	0
tsk_3	tsk_3	0	0	0
tsk_6	tsk_6	0	0	0
tsk_9	tsk_9	0	0	0
tsk_12	tsk_12	0	0	0
tsk_15	tsk_15	0	0	0
tsk_18	tsk_18	0	0	0
tsk_21	tsk_21	0	0	0
tsk_24	tsk_24	0	0	0
tsk_27	tsk_27	0	0	0
tsk_30	tsk_30	0	0	0
tsk_33	tsk_33	0	0	0
tsk_36	tsk_36	0	0	0
tsk_39	tsk_39	0	0	0
tsk_42	tsk_42	0	0	0
tsk_45	tsk_45	0	0	0
tsk_48	tsk_48	0	0	0
tsk_51	tsk_51	0	0	0
tsk_54	tsk_54	0	0	0
tsk_57	tsk_57	0	0	0
tsk_60	tsk_60	0	0	0
tsk_63	tsk_63	0	0	0
tsk_66	tsk_66	0	0	0
tsk_69	tsk_69	0	0	0
tsk_72	tsk_72	0	0	0
tsk_75	tsk_75	0	0	0
tsk_78	tsk_78	0	0	0
tsk_81	tsk_81	0	0	0
tsk_84	tsk_84	0	0	0
tsk_87	tsk_87	0	0	0
tsk_90	tsk_90	0	0	0
tsk_93	tsk_93	0	0	0
tsk_96	tsk_96	0	0	0
tsk_99	tsk_99	0	0	0
tsk_102	tsk_102	0	0	0
tsk_105	tsk_105	0	0	0
tsk_108	tsk_108	0	0	0
tsk_111	tsk_111	0	0	0
tsk_114	tsk_114	0	0	0
tsk_117	tsk_117	0	0	0
tsk_120	tsk_120	0	0	0
tsk_123	tsk_123	0	0	0
tsk_126	tsk_126	0	0	0
tsk_129	tsk_129	0	0	0
tsk_132	tsk_132	0	0	0
tsk_135	tsk_135	0	0	0
tsk_138	tsk_138	0	0	0
tsk_141	tsk_141	0	0	0
tsk_144	tsk_144	0	0	0
tsk_147	tsk_147	0	0	0
tsk_150	tsk_150	0	0	0
tsk_153	tsk_153	0	0	0
tsk_156	tsk_156	0	0	0
tsk_159	tsk_159	0	0	0
tsk_162	tsk_162	0	0	0
tsk_165	tsk_165	0	0	0
tsk_168	tsk_168	0	0	0
tsk_171	tsk_171	0	0	0
tsk_174	tsk_174	0	0	0
tsk_177	tsk_177	0	0	0
tsk_180	tsk_180	0	0	0
tsk_183	tsk_183	0	0	0
tsk_186	tsk_186	0	0	0
tsk_189	tsk_189	0	0	0
tsk_192	tsk_192	0	0	0
tsk_195	tsk_195	0	0	0
tsk_198	tsk_198	0	0	0
tsk_201	tsk_201	0	0	0
tsk_204	tsk_204	0	0	0
tsk_207	tsk_207	0	0	0
tsk_210	tsk_210	0	0	0
tsk_213	tsk_213	0	0	0
tsk_216	tsk_216	0	0	0
tsk_219	tsk_219	0	0	0
tsk_222	tsk_222	0	0	0
tsk_225	tsk_225	0	0	0
tsk_228	tsk_228	0	0	0
tsk_231	tsk_231	0	0	0
tsk_234	tsk_234	0	0	0
tsk_237	tsk_237	0	0	0
tsk_240	tsk_240	0	0	0
tsk_243	tsk_243	0	0	0
tsk_246	tsk_246	0	0	0
tsk_249	tsk_249	0	0	0
tsk_252	tsk_252	0	0	0
tsk_255	tsk_255	0	0	0
tsk_258	tsk_258	0	0	0
tsk_261	tsk_261	0	0	0
tsk_264	tsk_264	0	0	0
tsk_267	tsk_267	0	0	0
tsk_270	tsk_270	0	0	0
tsk_273	tsk_273	0	0	0
tsk_276	tsk_276	0	0	0
tsk_279	tsk_279	0	0	0
tsk_282	tsk_282	0	0	0
tsk_285	tsk_285	0	0	0
tsk_288	tsk_288	0	0	0
tsk_291	tsk_291	0	0	0
tsk_294	tsk_294	0	0	0
tsk_297	tsk_297	0	0	0
tsk_300	tsk_300	0	0	0
tsk_303	tsk_303	0	0	0
tsk_306	tsk_306	0	0	0
tsk_309	tsk_309	0	0	0
tsk_312	tsk_312	0	0	0
tsk_315	tsk_315	0	0	0
tsk_318	tsk_318	0	0	0
tsk_321	tsk_321	0	0	0
tsk_324	tsk_324	0	0	0
tsk_327	tsk_327	0	0	0
tsk_330	tsk_330	0	0	0
tsk_333	tsk_333	0	0	0
tsk_336	tsk_336	0	0	0
tsk_339	tsk_339	0	0	0
tsk_342	tsk_342	0	0	0
tsk_345	tsk_345	0	0	0
tsk_348	tsk_348	0	0	0
tsk_351	tsk_351	0	0	0
tsk_354	tsk_354	0	0	0
tsk_357	tsk_357	0	0	0
tsk_360	tsk_360	0	0	0
tsk_363	tsk_363	0	0	0
tsk_366	tsk_366	0	0	0
tsk_369	tsk_369	0	0	0
tsk_372	tsk_372	0	0	0
tsk_375	tsk_375	0	0	0
tsk_378	tsk_378	0	0	0
tsk_381	tsk_381	0	0	0
tsk_384	tsk_384	0	0	0
tsk_387	tsk_387	0	0	0
tsk_390	tsk_390	0	0	0
tsk_393	tsk_393	0	0	0
tsk_396	tsk_396	0	0	0
tsk_399	tsk_399	0	0	0
tsk_402	tsk_402	0	0	0
tsk_405	tsk_405	0	0	0
tsk_408	tsk_408	0	0	0
tsk_411	tsk_411	0	0	0
tsk_414	tsk_414	0	0	0
tsk_417	tsk_417	0	0	0
tsk_420	tsk_420	0	0	0
tsk_423	tsk_423	0	0	0
tsk_426	tsk_426	0	0	0
tsk_429	tsk_429	0	0	0
tsk_432	tsk_432	0	0	0
tsk_435	tsk_435	0	0	0
tsk_438	tsk_438	0	0	0
tsk_441	tsk_441	0	0	0
tsk_444	tsk_444	0	0	0
tsk_447	tsk_447	0	0	0
tsk_450	tsk_450	0	0	0
tsk_453	tsk_453	0	0	0
tsk_456	tsk_456	0	0	0
tsk_459	tsk_459	0	0	0
tsk_462	tsk_462	0	0	0
tsk_465	tsk_465	0	0	0
tsk_468	tsk_468	0	0	0
tsk_471	tsk_471	0	0	0
tsk_474	tsk_474	0	0	0
tsk_477	tsk_477	0	0	0
tsk_480	tsk_480	0	0	0
tsk_483	tsk_483	0	0	0
tsk_486	tsk_486	0	0	0
tsk_489	tsk_489	0	0	0
tsk_492	tsk_492	0	0	0
tsk_495	tsk_495	0	0	0
tsk_498	tsk_498	0	0	0
tsk_501	tsk_501	0	0	0
tsk_504	tsk_504	0	0	0
tsk_507	tsk_507	0	0	0
tsk_510	tsk_510	0	0	0
tsk_513	tsk_513	0	0	0
tsk_516	tsk_516	0	0	0
tsk_519	tsk_519	0	0	0
tsk_522	tsk_522	0	0	0
tsk_525	tsk_525	0	0	0
tsk_528	tsk_528	0	0	0
tsk_531	tsk_531	0	0	0
tsk_534	tsk_534	0	0	0
tsk_537	tsk_537	0	0	0
tsk_540	tsk_540	0	0	0
tsk_543	tsk_543	0	0	0
tsk_546	tsk_546	0	0	0
tsk_549	tsk_549	0	0	0
tsk_552	tsk_552	0	0	0
tsk_555	tsk_555	0	0	0
tsk_558	tsk_558	0	0	0
tsk_561	tsk_561	0	0	0
tsk_564	tsk_564	0	0	0
tsk_567	tsk_567	0	0	0
tsk_570	tsk_570	0	0	0
tsk_573	tsk_573	0	0	0
tsk_576	tsk_576	0	0	0
tsk_579	tsk_579	0	0	0
tsk_582	tsk_582	0	0	0
tsk_585	tsk_585	0	0	0
tsk_588	tsk_588	0	0	0
tsk_591	tsk_591	0	0	0
tsk_594	tsk_594	0	0	0
tsk_597	tsk_597	0	0	0
tsk_600	tsk_600	0	0	0
tsk_603	tsk_603	0	0	0
tsk_606	tsk_606	0	0	0
tsk_609	tsk_609	0	0	0
tsk_612	tsk_612	0	0	0
tsk_615	tsk_615	0	0	0
tsk_618	tsk_618	0	0	0
tsk_621	tsk_621	0	0	0
tsk_624	tsk_624	0	0	0
tsk_627	tsk_627	0	0	0
tsk_630	tsk_630	0	0	0
tsk_633	tsk_633	0	0	0
tsk_636	tsk_636	0	0	0
tsk_639	tsk_639	0	0	0
tsk_642	tsk_642	0	0	0
tsk_645	tsk_645	0	0	0
tsk_648	tsk_648	0	0	0
tsk_651	tsk_651	0	0	0
tsk_654	tsk_654	0	0	0
tsk_657	tsk_657	0	0	0
tsk_660	tsk_660	0	0	0
tsk_663	tsk_663	0	0	0
tsk_666	tsk_666	0	0	0
tsk_669	tsk_669	0	0	0
tsk_672	tsk_672	0	0	0
tsk_675	tsk_675	0	0	0
tsk_678	tsk_678	0	0	0
tsk_681	tsk_681	0	0	0
tsk_684	tsk_684	0	0	0
tsk_687	tsk_687	0	0	0
tsk_690	tsk_690	0	0	0
tsk_693	tsk_693	0	0	0
tsk_696	tsk_696	0	0	0
tsk_699	tsk_699	0	0	0
tsk_702	tsk_702	0	0	0
tsk_705	tsk_705	0	0	0
tsk_708	tsk_708	0	0	0
tsk_711	tsk_711	0	0	0
tsk_714	tsk_714	0	0	0
tsk_717	tsk_717	0	0	0
tsk_720	tsk_720	0	0	0
tsk_723	tsk_723	0	0	0
tsk_726	tsk_726	0	0	0
tsk_729	tsk_729	0	0	0
tsk_732	tsk_732	0	0	0
tsk_735	tsk_735	0	0	0
tsk_738	tsk_738	0	0	0
tsk_741	tsk_741	0	0	0
tsk_744	tsk_744	0	0	0
tsk_747	tsk_747	0	0	0
tsk_750	tsk_750	1	0	1
tsk_753	tsk_753	1	0	1
tsk_756	tsk_756	1	0	1
tsk_759	tsk_759	1	0	1
tsk_762	tsk_762	1	0	1
tsk_765	tsk_765	1	0	1
tsk_768	tsk_768	1	0	1
tsk_771	tsk_771	1	0	1
tsk_774	tsk_774	1	0	1
